time (ms), rss (MB),arrayBuffers,external,heapTotal,heapUsed
19945, 31.023104, 4.211884, 5.436052, 5.484544, 3.354032
20147, 31.035392, 4.211884, 5.436052, 5.484544, 3.366856
20347, 31.080448, 7.357612, 8.58178, 5.484544, 3.410416
20551, 31.100928, 7.357612, 8.58178, 5.484544, 3.434264
20752, 31.125504, 7.357612, 8.58178, 5.484544, 3.458088
20979, 31.15008, 7.357612, 8.58178, 5.484544, 3.481888
21180, 31.174656, 7.357612, 8.58178, 5.484544, 3.50568
21383, 31.19104, 7.357612, 8.58178, 5.484544, 3.529496
21597, 31.227904, 9.454764, 10.678932, 5.484544, 3.56692
21797, 31.25248, 9.454764, 10.678932, 5.484544, 3.590776
22008, 31.277056, 9.454764, 10.678932, 5.484544, 3.614328
22216, 31.289344, 9.454764, 10.678932, 5.484544, 3.627136
22415, 31.31392, 9.454764, 10.678932, 5.484544, 3.650848
22618, 31.3344, 9.454764, 10.678932, 5.484544, 3.674616
22819, 33.476608, 12.600492, 13.82466, 5.484544, 3.71848
23019, 33.501184, 12.600492, 13.82466, 5.484544, 3.742344
23220, 33.521664, 12.600492, 13.82466, 5.484544, 3.766152
23421, 33.542144, 12.600492, 13.82466, 5.484544, 3.789984
23621, 33.56672, 12.600492, 13.82466, 5.484544, 3.813792
23848, 33.591296, 12.600492, 13.82466, 5.484544, 3.837592
24048, 35.725312, 14.697644, 15.921812, 5.484544, 3.875064
24249, 35.749888, 14.697644, 15.921812, 5.484544, 3.898936
24450, 35.770368, 14.697644, 15.921812, 5.484544, 3.922744
24651, 38.961152, 17.843372, 19.06754, 5.484544, 3.966424
24860, 38.985728, 17.843372, 19.06754, 5.484544, 3.990288
25060, 39.006208, 17.843372, 19.06754, 5.484544, 4.014096
25263, 39.030784, 17.843372, 19.06754, 5.484544, 4.037904
25464, 39.051264, 17.843372, 19.06754, 5.484544, 4.061712
25665, 39.07584, 17.843372, 19.06754, 5.484544, 4.08552
25867, 41.209856, 19.940524, 21.164692, 5.484544, 4.123088
26068, 41.230336, 19.940524, 21.164692, 5.484544, 4.146712
26269, 41.242624, 19.940524, 21.164692, 5.484544, 4.15952
26470, 41.2672, 19.940524, 21.164692, 5.484544, 4.183232
26670, 41.295872, 19.940524, 21.164692, 5.484544, 4.207
26872, 41.320448, 19.940524, 21.164692, 5.484544, 4.230792
27073, 43.450368, 22.037676, 23.261844, 5.484544, 4.267144
27274, 43.47904, 22.037676, 23.261844, 5.484544, 4.291984
27478, 42.487808, 4.211884, 5.436052, 5.484544, 3.301744
27679, 42.512384, 4.211884, 5.436052, 5.484544, 3.32552
27879, 42.55744, 7.357612, 8.58178, 5.484544, 3.369224
28110, 42.57792, 7.357612, 8.58178, 5.484544, 3.393016
28313, 42.602496, 7.357612, 8.58178, 5.484544, 3.416808
28514, 42.627072, 7.357612, 8.58178, 5.484544, 3.440608
28715, 42.651648, 7.357612, 8.58178, 5.484544, 3.464408
28925, 42.672128, 7.357612, 8.58178, 5.484544, 3.488208
29134, 42.708992, 9.454764, 10.678932, 5.484544, 3.5256
29335, 42.729472, 9.454764, 10.678932, 5.484544, 3.5494
29535, 42.74176, 9.454764, 10.678932, 5.484544, 3.562264
29735, 42.766336, 9.454764, 10.678932, 5.484544, 3.586064
29945, 42.811392, 12.600492, 13.82466, 5.484544, 3.62968
30169, 42.831872, 12.600492, 13.82466, 5.484544, 3.653272
30369, 42.848256, 12.600492, 13.82466, 5.484544, 3.666096
30576, 42.872832, 12.600492, 13.82466, 5.484544, 3.689904
30777, 42.897408, 12.600492, 13.82466, 5.484544, 3.713736
30978, 42.934272, 14.697644, 15.921812, 5.484544, 3.751136
31177, 42.975232, 17.843372, 19.06754, 5.484544, 3.794872
31395, 42.995712, 17.843372, 19.06754, 5.484544, 3.818616
31597, 43.020288, 17.843372, 19.06754, 5.484544, 3.84236
31798, 43.032576, 17.843372, 19.06754, 5.484544, 3.855208
31999, 43.057152, 17.843372, 19.06754, 5.484544, 3.878888
32199, 43.081728, 17.843372, 19.06754, 5.484544, 3.902632
32399, 43.102208, 17.843372, 19.06754, 5.484544, 3.926376
32604, 43.126784, 17.843372, 19.06754, 5.484544, 3.95012
32834, 43.163648, 19.940524, 21.164692, 5.484544, 3.98748
33006, 43.188224, 19.940524, 21.164692, 5.484544, 4.011224
33207, 43.225088, 22.037676, 23.261844, 5.484544, 4.048592
33425, 43.249664, 22.037676, 23.261844, 5.484544, 4.072392
33626, 43.27424, 22.037676, 23.261844, 5.484544, 4.096168
33827, 43.29472, 22.037676, 23.261844, 5.484544, 4.119936
34028, 44.376064, 23.086252, 24.31042, 5.484544, 4.151056
34228, 44.412928, 23.086252, 24.31042, 5.484544, 4.174888
34430, 46.546944, 25.183404, 26.407572, 5.484544, 4.212256
34631, 46.567424, 25.183404, 26.407572, 5.484544, 4.236096
34841, 46.592, 25.183404, 26.407572, 5.484544, 4.259872
35042, 48.713728, 27.280556, 28.504724, 5.484544, 4.286256
35256, 48.738304, 27.280556, 28.504724, 5.484544, 4.310096
35457, 47.763456, 4.211884, 5.436052, 5.484544, 3.301024
35657, 47.788032, 4.211884, 5.436052, 5.484544, 3.3248
35859, 47.837184, 7.357612, 8.58178, 5.484544, 3.3684
36059, 47.857664, 7.357612, 8.58178, 5.484544, 3.392168
36260, 47.886336, 7.357612, 8.58178, 5.484544, 3.415936
36461, 47.910912, 7.357612, 8.58178, 5.484544, 3.439704
